Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Sterigmatocystis okazakii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus candidus
Sterigmatocystis phoenicis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger
Sterigmatocystis pulverulenta,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pulverulentus
Sterigmatocystis quercina,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus melleus
Sterigmatocystis sydowii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Emericella,Emericella sydowii
Sterigmatocystis unguis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus unguis
Sterigmatocystis usta,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Emericella,Emericella usta
Sterigmatocystis versicolor,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Emericella,Emericella versicolor
Sterigmatocystis violaceofusca,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus violaceofuscus
Sterigmatocystis vitellina,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus vitellinus
Sterigmatocystis nidulans var. nicollei,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans
Sterigmatomyces acheniorum,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Anthracoideaceae,Farysia,Farysia acheniorum
Sterigmatomyces nectairei,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,Kurtzmanomyces nectairei
Sterigmatomyces polyborus,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Fellomyces,Fellomyces polyborus
Sterigmatosporidium polymorphum,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Cuniculitrema,Cuniculitrema polymorpha
Stevensiella cordiae,Fungi,Ascomycota,Sordariomycetes,Phyllachorales,Phyllachoraceae,Diatractium,Diatractium cordianum
Sthughesia juniperi,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Xenomeris,Xenomeris juniperi
Stichoclavaria afflata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,
Stichoclavaria falcata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria falcata
Stichoclavaria mucida,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Multiclavula,Multiclavula mucida
